Herb Name,Parts Used in Treatment,Disease,Symptoms/Condition,Therapeutic Uses,Formulation,Dosage (mg),Administration Guidelines,Pharmacological Property,Side Effects,Prakriti,Dosha
3,3,7,Fatigue,4,0,373,6,4,4,4,0
1,0,3,Fatigue,5,4,529,6,6,6,1,2
7,4,3,Skin Rashes,7,2,463,6,0,0,0,0
0,4,3,Skin Rashes,5,3,411,6,3,1,5,2
5,0,7,Stress,5,5,194,5,1,6,5,1
1,4,4,Headache,6,7,950,4,8,1,1,1
3,1,4,Fever,6,2,375,0,9,6,1,0
8,4,4,Anxiety,2,2,855,6,4,6,5,1
3,2,3,Inflammation,3,3,774,6,1,1,2,0
4,4,3,Cough,2,5,931,5,4,1,0,1
7,3,7,Joint Pain,5,2,515,3,3,0,1,2
1,3,4,Joint Pain,8,2,185,5,5,2,5,1
2,1,6,Skin Rashes,4,4,273,4,0,1,3,2
8,2,6,Inflammation,1,5,112,1,0,0,4,0
3,2,8,Breathing Difficulty,7,5,774,0,6,1,5,1
1,1,6,Anxiety,4,0,275,2,8,6,6,0
4,3,5,Breathing Difficulty,2,2,458,1,8,2,1,0
4,0,6,Fever,5,2,747,0,2,3,1,2
8,5,5,Skin Rashes,8,4,174,2,9,4,6,2
5,2,2,Cough,6,7,594,1,2,5,4,2
8,5,3,High Blood Pressure,8,0,295,1,2,4,6,2
0,2,3,Skin Rashes,0,1,189,2,7,4,1,2
3,0,0,Breathing Difficulty,0,3,365,6,1,2,4,1
7,3,0,High Blood Pressure,2,2,833,0,2,0,4,1
4,2,7,Inflammation,8,3,328,3,9,0,1,2
2,4,4,Breathing Difficulty,6,6,183,5,6,4,3,1
1,1,5,Stress,6,3,781,1,6,0,1,2
9,5,2,Skin Rashes,1,6,697,5,6,1,0,0
6,2,5,Headache,1,2,578,0,6,0,2,2
1,2,2,Cough,5,2,578,0,4,3,0,1
4,2,1,High Blood Pressure,0,7,303,3,6,2,1,2
2,4,3,Fatigue,7,2,299,1,2,6,5,1
5,3,5,Indigestion,8,6,689,1,5,3,3,2
7,3,1,Anxiety,5,0,349,2,3,1,6,1
6,3,7,Indigestion,1,3,676,2,5,2,5,2
3,5,7,Anxiety,8,0,605,6,8,1,6,1
8,0,7,Cough,5,5,405,3,7,4,6,1
1,4,6,Fever,1,2,884,6,3,4,0,1
8,1,4,Indigestion,8,1,263,0,1,4,2,2
1,2,2,Fever,8,1,706,6,4,1,4,0
7,3,5,Fatigue,2,1,911,3,6,6,5,2
2,5,6,Fatigue,8,0,501,6,6,6,2,2
4,1,8,Fatigue,2,6,748,4,3,1,3,1
3,0,8,Anxiety,2,1,236,5,5,4,1,1
0,0,4,Breathing Difficulty,7,0,815,2,5,4,1,2
4,5,1,Anxiety,7,6,619,3,8,1,4,1
3,1,0,Headache,7,6,896,3,6,2,4,2
7,4,2,Indigestion,0,7,936,6,4,0,4,1
5,1,3,Headache,8,1,512,2,9,1,4,0
9,5,1,Fever,3,7,687,6,0,6,2,2
3,2,0,Breathing Difficulty,4,3,974,6,6,3,0,1
6,2,6,Fatigue,4,5,812,1,0,3,1,1
1,0,1,Anxiety,2,7,857,4,7,3,5,0
2,4,0,Stress,7,6,526,6,0,6,1,0
2,3,8,Anxiety,7,3,347,2,9,4,3,2
1,3,8,Breathing Difficulty,7,2,131,1,4,5,1,2
3,4,8,Anxiety,5,0,893,2,2,6,0,2
9,5,6,Headache,4,7,809,0,8,6,0,0
8,2,5,Joint Pain,6,4,310,2,4,4,5,2
5,3,7,Fever,0,2,216,0,9,3,6,0
8,5,3,Inflammation,5,5,280,4,5,5,2,0
4,1,7,Anxiety,5,3,376,1,0,0,5,1
7,0,3,Stress,8,4,866,2,6,6,5,0
6,4,0,Skin Rashes,1,2,147,2,3,2,2,1
4,0,6,Cough,1,6,473,3,1,0,4,2
5,4,2,Fatigue,5,6,156,2,9,5,3,2
4,0,5,Headache,4,6,318,6,3,4,3,0
7,5,2,High Blood Pressure,0,5,139,3,0,1,3,1
4,0,4,High Blood Pressure,5,4,679,0,5,6,6,2
6,1,7,High Blood Pressure,0,0,517,6,4,6,0,0
7,4,6,Fatigue,8,7,487,2,3,5,4,0
1,4,0,Headache,8,2,406,3,4,4,0,0
5,3,3,Joint Pain,5,3,341,0,9,2,5,0
5,5,2,Cough,3,7,738,0,5,5,1,1
7,1,0,Breathing Difficulty,8,6,658,4,9,3,1,0
2,1,2,High Blood Pressure,4,0,473,3,3,6,0,0
8,0,2,Skin Rashes,7,5,201,3,4,3,3,0
6,1,0,Fatigue,2,0,958,6,6,5,0,0
1,1,4,Breathing Difficulty,2,2,605,0,2,1,3,0
6,1,7,Joint Pain,3,2,627,2,5,6,5,2
6,4,5,Anxiety,5,2,819,4,4,1,3,1
9,3,8,High Blood Pressure,5,7,651,3,1,2,6,0
0,4,3,Inflammation,5,5,482,3,0,6,6,1
5,3,4,Skin Rashes,7,0,230,5,8,4,5,2
7,4,3,Fever,8,3,927,6,1,2,6,1
1,1,6,High Blood Pressure,6,0,980,0,8,0,2,0
1,5,2,Stress,7,5,278,0,2,4,5,1
5,1,2,Fever,6,7,398,3,2,0,0,0
4,1,6,Stress,6,0,840,3,2,3,0,1
2,2,2,Fever,1,5,263,3,5,2,2,1
0,3,7,High Blood Pressure,2,1,609,3,5,0,2,0
3,3,0,Stress,7,3,752,3,3,5,6,2
1,4,5,Skin Rashes,8,3,228,0,1,2,0,1
3,3,4,Stress,3,1,311,1,9,2,1,0
6,2,0,Anxiety,2,3,454,3,7,0,6,1
2,5,3,Cough,0,7,111,4,7,0,3,2
3,1,7,Anxiety,0,7,469,2,0,6,6,2
0,1,8,Inflammation,5,7,513,3,7,3,0,2
1,2,2,Joint Pain,2,6,463,5,3,6,0,0
4,3,5,Headache,3,3,319,5,7,5,0,1
4,0,2,Headache,1,3,822,1,7,5,0,1
7,5,6,Skin Rashes,3,4,345,1,1,3,1,1
8,1,2,Fever,8,3,498,1,3,1,6,0
7,2,4,Breathing Difficulty,0,7,681,5,6,1,6,1
0,4,7,Stress,7,0,347,2,7,3,6,2
0,2,3,Stress,4,1,146,5,5,2,6,1
3,5,1,Cough,4,7,236,5,5,0,2,2
4,4,2,Breathing Difficulty,4,6,869,4,8,6,1,0
8,0,3,Cough,6,4,770,0,1,4,5,1
2,0,6,Skin Rashes,0,2,857,4,0,1,1,0
6,1,2,Fatigue,3,6,853,1,8,5,5,2
8,2,8,Joint Pain,4,7,674,6,5,3,6,1
2,3,2,Joint Pain,2,5,192,6,2,1,4,2
5,5,0,Fatigue,4,6,365,2,7,5,2,2
7,4,6,Anxiety,1,0,868,5,5,1,1,2
9,0,8,Joint Pain,2,6,723,0,7,0,5,2
4,0,8,Stress,3,6,566,6,8,2,0,1
4,1,7,Anxiety,3,4,953,3,3,1,3,1
4,3,3,Inflammation,4,4,400,3,9,6,5,2
5,0,5,Headache,0,5,195,6,0,0,3,0
0,4,3,Headache,6,0,386,3,0,0,1,2
6,0,4,Joint Pain,2,2,620,5,4,3,4,0
3,0,0,Fever,7,0,894,5,8,3,3,2
0,3,8,Stress,4,2,979,3,1,5,0,1
9,2,6,Inflammation,8,7,488,3,3,6,3,1
1,4,6,Indigestion,8,7,323,4,9,3,4,1
5,1,8,Skin Rashes,6,2,616,2,7,6,1,2
5,2,5,Fatigue,4,6,458,3,7,4,6,1
5,2,6,Joint Pain,6,3,745,4,1,6,4,1
1,1,0,Cough,1,0,227,5,3,5,1,0
1,1,4,Headache,2,5,811,5,6,5,6,0
0,1,7,Stress,7,3,734,1,5,0,3,0
0,1,3,Skin Rashes,5,1,754,4,6,6,6,2
1,4,5,Inflammation,1,7,812,5,2,0,5,1
8,0,4,Breathing Difficulty,3,0,564,2,2,5,2,2
5,0,7,Inflammation,8,3,291,3,4,1,6,0
7,5,7,Anxiety,2,2,281,2,0,0,4,1
7,5,2,High Blood Pressure,2,7,592,1,8,1,5,1
9,1,3,Skin Rashes,1,7,724,1,6,0,1,2
2,1,2,Breathing Difficulty,1,5,419,0,7,5,2,1
2,0,6,Anxiety,5,2,454,4,0,3,3,1
3,3,4,High Blood Pressure,1,7,194,5,9,5,4,0
0,5,3,Indigestion,1,2,529,4,3,0,5,1
9,5,5,Skin Rashes,5,4,815,3,6,1,4,1
1,0,2,Stress,7,3,642,4,6,6,3,1
7,4,7,Cough,7,5,186,4,6,0,6,1
3,0,3,Inflammation,8,6,357,2,9,5,2,1
1,2,4,Headache,8,1,625,6,9,0,5,0
0,4,3,Stress,8,2,205,0,8,1,4,2
4,2,3,Anxiety,5,3,280,3,4,0,5,1
4,4,7,Skin Rashes,8,2,697,2,5,6,2,0
7,4,8,Inflammation,2,0,511,4,9,4,4,1
3,1,1,Anxiety,8,6,714,1,1,4,2,1
8,2,3,Fever,5,5,308,5,0,6,6,0
