Herb Name,Parts Used in Treatment,Disease,Symptoms/Condition,Therapeutic Uses,Formulation,Dosage (mg),Administration Guidelines,Pharmacological Property,Side Effects,Prakriti,Dosha
Guggul,Leaf,Respiratory Issues,Fatigue,Antiseptic,Capsules,373,Take with warm water,Antibacterial,Mild Nausea,Vata,Kapha
Ashwagandha,Bark,Hypertension,Fatigue,Detoxification,Juice,529,Take with warm water,Antipyretic,Stomach Upset,Pitta,Vata
Shatavari,Root,Hypertension,Skin Rashes,Immune Booster,Decoction,463,Take with warm water,Adaptogenic,Allergic Reaction,Kapha,Kapha
Amla,Root,Hypertension,Skin Rashes,Detoxification,Extract,411,Take with warm water,Anti-inflammatory,Diarrhea,Vata-Kapha,Vata
Manjistha,Bark,Respiratory Issues,Stress,Detoxification,Oil,194,Take twice daily,Analgesic,Stomach Upset,Vata-Kapha,Pitta
Ashwagandha,Root,Inflammation,Headache,Digestive Aid,Tablets,950,Take on an empty stomach,Hepatoprotective,Diarrhea,Pitta,Pitta
Guggul,Flower,Inflammation,Fever,Digestive Aid,Decoction,375,Apply externally,Hypoglycemic,Stomach Upset,Pitta,Kapha
Triphala,Root,Inflammation,Anxiety,Anti-inflammatory,Decoction,855,Take with warm water,Antibacterial,Stomach Upset,Vata-Kapha,Pitta
Guggul,Fruit,Hypertension,Inflammation,Antioxidant,Extract,774,Take with warm water,Analgesic,Diarrhea,Pitta-Kapha,Kapha
Haritaki,Root,Hypertension,Cough,Anti-inflammatory,Oil,931,Take twice daily,Antibacterial,Diarrhea,Kapha,Pitta
Shatavari,Leaf,Respiratory Issues,Joint Pain,Detoxification,Decoction,515,Take before sleep,Anti-inflammatory,Allergic Reaction,Pitta,Vata
Ashwagandha,Leaf,Inflammation,Joint Pain,Mental Calmness,Decoction,185,Take twice daily,Antifungal,Drowsiness,Vata-Kapha,Pitta
Brahmi,Flower,Mental Stress,Skin Rashes,Antiseptic,Juice,273,Take on an empty stomach,Adaptogenic,Diarrhea,Tridosha,Vata
Triphala,Fruit,Mental Stress,Inflammation,Anti-hypertensive,Oil,112,Consume after meals,Adaptogenic,Allergic Reaction,Vata,Kapha
Guggul,Fruit,Skin Diseases,Breathing Difficulty,Immune Booster,Oil,774,Apply externally,Antipyretic,Diarrhea,Vata-Kapha,Pitta
Ashwagandha,Flower,Mental Stress,Anxiety,Antiseptic,Capsules,275,Mix with honey,Hepatoprotective,Stomach Upset,Vata-Pitta,Kapha
Haritaki,Leaf,Liver Disorders,Breathing Difficulty,Anti-inflammatory,Decoction,458,Consume after meals,Hepatoprotective,Drowsiness,Pitta,Kapha
Haritaki,Bark,Mental Stress,Fever,Detoxification,Decoction,747,Apply externally,Anti-hypertensive,Headache,Pitta,Vata
Triphala,Seed,Liver Disorders,Skin Rashes,Mental Calmness,Juice,174,Mix with honey,Hypoglycemic,Mild Nausea,Vata-Pitta,Vata
Manjistha,Fruit,Digestive Disorders,Cough,Digestive Aid,Tablets,594,Consume after meals,Anti-hypertensive,None,Vata,Vata
Triphala,Seed,Hypertension,High Blood Pressure,Mental Calmness,Capsules,295,Consume after meals,Anti-hypertensive,Mild Nausea,Vata-Pitta,Vata
Amla,Fruit,Hypertension,Skin Rashes,Adaptogen,Churna,189,Mix with honey,Antiviral,Mild Nausea,Pitta,Vata
Guggul,Bark,Arthritis,Breathing Difficulty,Adaptogen,Extract,365,Take with warm water,Analgesic,Drowsiness,Vata,Pitta
Shatavari,Leaf,Arthritis,High Blood Pressure,Anti-inflammatory,Decoction,833,Apply externally,Anti-hypertensive,Allergic Reaction,Vata,Pitta
Haritaki,Fruit,Respiratory Issues,Inflammation,Mental Calmness,Extract,328,Take before sleep,Hypoglycemic,Allergic Reaction,Pitta,Vata
Brahmi,Root,Inflammation,Breathing Difficulty,Digestive Aid,Powder,183,Take twice daily,Antipyretic,Mild Nausea,Tridosha,Pitta
Ashwagandha,Flower,Liver Disorders,Stress,Digestive Aid,Extract,781,Consume after meals,Antipyretic,Allergic Reaction,Pitta,Vata
Tulsi,Seed,Digestive Disorders,Skin Rashes,Anti-hypertensive,Powder,697,Take twice daily,Antipyretic,Diarrhea,Kapha,Kapha
Neem,Fruit,Liver Disorders,Headache,Anti-hypertensive,Decoction,578,Apply externally,Antipyretic,Allergic Reaction,Pitta-Kapha,Vata
Ashwagandha,Fruit,Digestive Disorders,Cough,Detoxification,Decoction,578,Apply externally,Antibacterial,Headache,Kapha,Pitta
Haritaki,Fruit,Diabetes,High Blood Pressure,Adaptogen,Tablets,303,Take before sleep,Antipyretic,Drowsiness,Pitta,Vata
