Herb Name,Scientific Name,Therapeutic Uses,Disease,Formulation,Pharmacological Property,Dosage,Administration Guidelines,,,,
Acacia senegal,Gum arabic,"Binder, emulsifier, ancient birth control",Oral health issues,"Powder, Tablet","Demulcent, Binding agent",5-10 g,"Mix with water, consume as needed",,,,
Achillea millefolium,Common yarrow,"Diaphoretic, astringent, tonic, stimulant","Fever, Wounds","Tea, Extract","Astringent, Anti-inflammatory",1-2 g,"Brew as tea, apply topically",,,,
Actaea racemosa,Black cohosh,"Arthritis, muscle pain, menopause","Menopause, Pain","Tablet, Capsule","Anti-inflammatory, Antispasmodic",40-80 mg,Take with water,,,,
Aesculus hippocastanum,Horse chestnut,"Joint pain, bladder problems, leg cramps",Varicose veins,"Tablet, Capsule","Venotonic, Anti-inflammatory",300-600 mg,Take with water,,,,
Ageratina altissima,White snakeroot,"Diarrhea, kidney stones, fever",Digestive disorders,"Powder, Extract","Diuretic, Antimicrobial",1-2 g,Take with water,,,,
Alcea rosea,Common hollyhock,"Emollient, laxative, inflammation control","Skin issues, Bedwetting","Powder, Capsule","Emollient, Anti-inflammatory",300-500 mg,"Take with water, apply externally",,,,
Alisma plantago-aquatica,Water-plantain,Urinary tract health,Urinary disorders,"Powder, Capsule","Diuretic, Anti-inflammatory",300-500 mg,Take with water,,,,
Allium sativum,Garlic,"Lowers blood cholesterol, blood pressure","Hypertension, Cholesterol","Raw, Capsule","Hypolipidemic, Antioxidant",1-2 cloves,Take raw or in capsule form,,,,
Aloe vera,Aloe vera,"Heals burns, wounds, skin ailments",Skin disorders,"Gel, Juice","Emollient, Anti-inflammatory",As required,"Apply topically, consume juice",,,,
Aloe vera,Aloe vera,"Hormone balance, menstrual regulation","PCOD, PCOS","Juice, Capsule","Hormonal modulator, Laxative",10-20 ml,"Take on an empty stomach, daily",,,,
Althaea officinalis,Marsh-mallow,Historically used as both food and medicine,"Cough, Sore throat","Tea, Syrup","Demulcent, Emollient",5-10 g,"Brew as tea, take as syrup",,,,
Amla,Emblica officinalis,"Vitamin C source, memory improvement",General wellness,"Powder, Juice","Antioxidant, Immune booster",10-20 ml,Take on an empty stomach,,,,
Amla,Emblica officinalis,"Antioxidant, immune support","General wellness, Immune deficiency","Powder, Capsule","Antioxidant, Immunomodulatory",1-2 g,"Take on an empty stomach, daily",,,,
Amorphophallus konjac,Konjac,"Treats obesity, constipation, reduces cholesterol","Obesity, Constipation","Powder, Capsule","Laxative, Hypoglycemic",3-5 g,"Mix with water, take before meals",,,,
Anemone hepatica,Common hepatica,"Liver diseases, pimples, bronchitis, gout",Liver disorders,"Powder, Capsule","Hepatoprotective, Anti-inflammatory",300-600 mg,Take with water,,,,
Angelica archangelica,Garden angelica,"Gastrointestinal, respiratory, nervous system disorders",Respiratory issues,"Powder, Capsule","Antispasmodic, Expectorant",300-600 mg,Take with water,,,,
Angelica sinensis,Dong quai,Women's health,Menstrual disorders,"Powder, Capsule","Uterotonic, Antispasmodic",300-600 mg,Take with water,,,,
Apium graveolens,Celery,Diuretic,Hypertension,"Juice, Capsule","Diuretic, Anti-inflammatory",5-10 g,Take with water or juice,,,,
Arctium lappa,Burdock,"Diuretic, lowers blood sugar, sore throat","Skin issues, Diabetes","Tea, Extract","Diuretic, Blood purifier",1-2 g,"Brew as tea, apply topically",,,,
Arnica montana,Arnica,"Anti-inflammatory, osteoarthritis",Joint pain,"Cream, Gel","Anti-inflammatory, Analgesic",As required,Apply topically (not for oral use),,,,
Ashwagandha,Withania somnifera,"Stress relief, neurological disorders","Stress, Anxiety","Powder, Capsule","Adaptogenic, Anti-inflammatory",250-500 mg,"Take with milk, twice daily",,,,
Ashwagandha,Withania somnifera,"Stress relief, hormone regulation","PCOS, Stress","Powder, Capsule","Adaptogenic, Anti-inflammatory",300-600 mg,"Take with warm water or milk, morning and evening",,,,
Astragalus propinquus,Astragalus,Traditional Chinese medicine,Immune deficiency,"Powder, Capsule","Immunomodulatory, Adaptogenic",300-600 mg,Take with water,,,,
Atropa belladonna,Belladonna,"Pupil dilation, sedative (toxic)",Pain management,"Powder, Extract","Antispasmodic, Analgesic",Under supervision,Only under medical supervision,,,,
