Herb Name,Parts Used in Treatment,Disease,Symptoms/Condition,Therapeutic Uses,Formulation,Dosage (mg),Administration Guidelines,Pharmacological Property,Side Effects,Prakriti,Dosha
Amla,Fruit,Diabetes,Headache,Antioxidant,Powder,706,Take on an empty stomach,Adaptogenic,Drowsiness,Vata,Pitta
Shatavari,Leaf,Diabetes,Indigestion,Immune Booster,Oil,494,Consume after meals,Analgesic,Drowsiness,Pitta,Pitta
Brahmi,Seed,Skin Diseases,Fever,Mental Calmness,Tablets,933,Take on an empty stomach,Antibacterial,None,Kapha,Vata
Brahmi,Flower,Digestive Disorders,Headache,Detoxification,Decoction,245,Mix with honey,Antiviral,Allergic Reaction,Vata-Pitta,Vata
Guggul,Root,Inflammation,Skin Rashes,Digestive Aid,Powder,872,Consume after meals,Antibacterial,Stomach Upset,Pitta,Kapha
Neem,Flower,Digestive Disorders,Joint Pain,Antioxidant,Decoction,407,Take with warm water,Antifungal,Drowsiness,Pitta-Kapha,Pitta
Ashwagandha,Fruit,Digestive Disorders,Fatigue,Immune Booster,Tablets,211,Mix with honey,Antipyretic,Allergic Reaction,Vata-Kapha,Vata
Guggul,Root,Mental Stress,Anxiety,Anti-inflammatory,Oil,427,Take on an empty stomach,Antipyretic,Stomach Upset,Pitta,Pitta
Tulsi,Seed,Mental Stress,Cough,Mental Calmness,Oil,189,Take on an empty stomach,Analgesic,Drowsiness,Kapha,Kapha
Ashwagandha,Seed,Mental Stress,Skin Rashes,Anti-inflammatory,Powder,764,Take on an empty stomach,Adaptogenic,Drowsiness,Pitta-Kapha,Kapha
Amla,Leaf,Arthritis,Indigestion,Immune Booster,Decoction,613,Take with warm water,Adaptogenic,Drowsiness,Vata-Pitta,Vata
Tulsi,Fruit,Respiratory Issues,Indigestion,Detoxification,Capsules,860,Take with warm water,Antifungal,Allergic Reaction,Pitta-Kapha,Pitta
Neem,Leaf,Digestive Disorders,Anxiety,Digestive Aid,Oil,671,Mix with honey,Adaptogenic,None,Vata-Kapha,Pitta
Tulsi,Flower,Mental Stress,Headache,Antioxidant,Tablets,516,Take on an empty stomach,Antifungal,Drowsiness,Pitta-Kapha,Pitta
Neem,Root,Digestive Disorders,Cough,Immune Booster,Powder,998,Take with warm water,Antifungal,None,Kapha,Pitta
Ashwagandha,Root,Inflammation,Fever,Immune Booster,Tablets,500,Take on an empty stomach,Antipyretic,None,Kapha,Pitta
Guggul,Flower,Inflammation,Fatigue,Immune Booster,Decoction,369,Take with warm water,Antiviral,Mild Nausea,Vata-Pitta,Pitta
Ashwagandha,Fruit,Diabetes,Indigestion,Immune Booster,Capsules,790,Mix with honey,Antifungal,Allergic Reaction,Tridosha,Kapha
Manjistha,Seed,Diabetes,Fatigue,Mental Calmness,Tablets,932,Take on an empty stomach,Antifungal,Mild Nausea,Tridosha,Vata
Ashwagandha,Fruit,Diabetes,Fever,Antioxidant,Capsules,852,Take on an empty stomach,Antifungal,Drowsiness,Vata,Vata
Amla,Seed,Mental Stress,Fever,Anti-inflammatory,Tablets,492,Take on an empty stomach,Adaptogenic,Mild Nausea,Vata,Pitta
Shatavari,Leaf,Diabetes,Fever,Digestive Aid,Oil,523,Take on an empty stomach,Antiviral,Mild Nausea,Kapha,Vata
Neem,Bark,Respiratory Issues,Cough,Anti-inflammatory,Powder,942,Consume after meals,Antifungal,Drowsiness,Pitta,Vata
Manjistha,Flower,Diabetes,Cough,Mental Calmness,Churna,660,Consume after meals,Antibacterial,Stomach Upset,Vata,Kapha
Amla,Leaf,Digestive Disorders,Cough,Detoxification,Powder,671,Take with warm water,Analgesic,None,Pitta,Kapha
Guggul,Seed,Respiratory Issues,Joint Pain,Detoxification,Powder,149,Mix with honey,Antipyretic,None,Tridosha,Kapha
Amla,Leaf,Digestive Disorders,Indigestion,Mental Calmness,Capsules,857,Take on an empty stomach,Antiviral,None,Vata,Pitta
Brahmi,Leaf,Inflammation,Anxiety,Antioxidant,Oil,788,Take on an empty stomach,Antifungal,Stomach Upset,Vata,Kapha
Ashwagandha,Root,Skin Diseases,Anxiety,Immune Booster,Churna,545,Consume after meals,Adaptogenic,Drowsiness,Vata-Kapha,Pitta
Tulsi,Seed,Respiratory Issues,Headache,Anti-inflammatory,Powder,733,Consume after meals,Analgesic,Drowsiness,Pitta-Kapha,Vata
Ashwagandha,Leaf,Arthritis,Headache,Detoxification,Churna,356,Mix with honey,Analgesic,None,Tridosha,Vata
Neem,Root,Arthritis,Skin Rashes,Immune Booster,Capsules,932,Take with warm water,Antifungal,Mild Nausea,Kapha,Vata
Guggul,Root,Arthritis,Anxiety,Detoxification,Capsules,920,Take on an empty stomach,Antiviral,None,Pitta,Kapha
Tulsi,Leaf,Diabetes,Joint Pain,Anti-inflammatory,Oil,218,Mix with honey,Analgesic,None,Pitta-Kapha,Kapha
Amla,Flower,Inflammation,Fever,Digestive Aid,Tablets,176,Consume after meals,Antipyretic,Allergic Reaction,Kapha,Kapha
Guggul,Fruit,Inflammation,Joint Pain,Digestive Aid,Capsules,652,Take with warm water,Antiviral,Stomach Upset,Kapha,Pitta
Triphala,Flower,Arthritis,Fatigue,Mental Calmness,Churna,472,Take on an empty stomach,Antibacterial,Drowsiness,Vata-Pitta,Kapha
Tulsi,Fruit,Mental Stress,Indigestion,Immune Booster,Tablets,280,Take on an empty stomach,Antifungal,Allergic Reaction,Pitta-Kapha,Vata
Ashwagandha,Seed,Digestive Disorders,Headache,Digestive Aid,Powder,375,Take on an empty stomach,Antifungal,None,Vata-Kapha,Kapha
Manjistha,Root,Respiratory Issues,Headache,Immune Booster,Capsules,976,Take with warm water,Antipyretic,Allergic Reaction,Pitta,Vata
Neem,Leaf,Respiratory Issues,Fatigue,Digestive Aid,Oil,412,Take with warm water,Antiviral,Mild Nausea,Pitta,Kapha
Amla,Seed,Skin Diseases,Indigestion,Anti-inflammatory,Powder,612,Take with warm water,Analgesic,Mild Nausea,Vata-Pitta,Vata
Ashwagandha,Root,Arthritis,Headache,Digestive Aid,Powder,341,Take on an empty stomach,Antibacterial,None,Pitta-Kapha,Pitta
Shatavari,Bark,Digestive Disorders,Cough,Anti-inflammatory,Tablets,630,Take on an empty stomach,Analgesic,None,Vata-Kapha,Kapha
Tulsi,Bark,Diabetes,Joint Pain,Antioxidant,Oil,672,Mix with honey,Antiviral,None,Vata-Pitta,Vata
Brahmi,Leaf,Mental Stress,Cough,Detoxification,Tablets,584,Consume after meals,Antiviral,None,Kapha,Vata
Shatavari,Root,Mental Stress,Fever,Detoxification,Oil,651,Take with warm water,Antibacterial,Drowsiness,Tridosha,Vata
Guggul,Root,Inflammation,Skin Rashes,Digestive Aid,Churna,313,Mix with honey,Analgesic,None,Pitta-Kapha,Kapha
Brahmi,Root,Digestive Disorders,Fever,Detoxification,Powder,785,Take on an empty stomach,Antibacterial,Stomach Upset,Tridosha,Vata
Haritaki,Flower,Respiratory Issues,Fatigue,Mental Calmness,Tablets,703,Take on an empty stomach,Analgesic,Drowsiness,Vata-Pitta,Pitta
Amla,Bark,Arthritis,Skin Rashes,Detoxification,Capsules,298,Consume after meals,Adaptogenic,Allergic Reaction,Vata,Pitta
Amla,Flower,Digestive Disorders,Joint Pain,Digestive Aid,Decoction,146,Take with warm water,Antifungal,Mild Nausea,Vata-Kapha,Pitta
Tulsi,Flower,Diabetes,Fever,Mental Calmness,Capsules,487,Take on an empty stomach,Antibacterial,Stomach Upset,Vata-Pitta,Vata
Ashwagandha,Seed,Digestive Disorders,Headache,Digestive Aid,Oil,422,Consume after meals,Antifungal,Allergic Reaction,Vata-Kapha,Pitta
Tulsi,Fruit,Diabetes,Cough,Mental Calmness,Churna,681,Mix with honey,Antipyretic,Allergic Reaction,Tridosha,Kapha
Manjistha,Leaf,Respiratory Issues,Indigestion,Antioxidant,Churna,917,Take with warm water,Antiviral,None,Pitta,Vata
Guggul,Bark,Diabetes,Anxiety,Immune Booster,Capsules,774,Take with warm water,Antifungal,None,Kapha,Vata
Ashwagandha,Leaf,Skin Diseases,Indigestion,Anti-inflammatory,Decoction,119,Consume after meals,Antiviral,None,Vata,Vata
Haritaki,Flower,Inflammation,Skin Rashes,Immune Booster,Churna,749,Take on an empty stomach,Antiviral,None,Vata-Pitta,Pitta
Guggul,Bark,Digestive Disorders,Indigestion,Detoxification,Capsules,873,Mix with honey,Antifungal,Allergic Reaction,Pitta,Pitta
Ashwagandha,Bark,Inflammation,Indigestion,Mental Calmness,Tablets,965,Consume after meals,Adaptogenic,Drowsiness,Pitta,Kapha
Manjistha,Bark,Mental Stress,Headache,Mental Calmness,Churna,132,Mix with honey,Antipyretic,None,Pitta-Kapha,Vata
